RecordID,Offense,IncidentID,BlockNumber,StreetName,Agency,DateReported,HourReported,ReportingOfficer
16375,Shots Fired/Illegal Hunting,202000032428,,10TH ST NW / PAGE ST,CPD,2020/11/29 01:08:16+00,2008,"Morrison, Kyle"
16382,Shots Fired/Illegal Hunting,202000032380,,1ST ST S / LANKFORD AVE,CPD,2020/11/28 09:42:33+00,0442,"Vlasis, Christopher"
16384,Weapons Violations,202000032361,300,7 1/2 ST SW,CPD,2020/11/28 04:33:39+00,2333,"Groff, Hayden"
16421,Weapons Violations,202000031988,600,E MARKET ST,CPD,2020/11/23 21:08:21+00,1608,"Stein, Nathan"
16425,Weapons Violations,202000031982,600,12TH ST NW,CPD,2020/11/23 20:03:14+00,1503,"Samar, Jack"
16463,Weapons Violations,202000031760,700,MCINTIRE RD,CPD,2020/11/21 08:09:46+00,0309,"Hall, Stephen"
16544,Shots Fired/Illegal Hunting,202000031196,,MONTICELLO AVE / 6TH ST SE,CPD,2020/11/15 01:05:03+00,2005,"Bowers, Justin"
16560,Weapons Violations,202000031041,700,ELSOM ST,CPD,2020/11/13 05:16:25+00,0016,"Hounsel, Eli"
16565,Shots Fired/Illegal Hunting,202000031019,1300,HAMPTON ST,CPD,2020/11/13 00:46:07+00,1946,"Bowers, Justin"
16572,Weapons Violations,202000030948,,MEADE AVE / CARLTON RD,CPD,2020/11/12 04:04:33+00,2304,"Middleton, Matthew"
16602,Weapons Violations,202000030581,900,"1ST ST S, C",CPD,2020/11/07 08:31:31+00,0331,"McNerney, Todd"
16603,Weapons Violations,202000030558,2000,HOLIDAY DR,CPD,2020/11/07 04:16:37+00,2316,"Haug, Ian"
16647,Shots Fired/Illegal Hunting,202000030145,900,1ST ST S,CPD,2020/11/02 07:04:57+00,0204,"Vlasis, Christopher"
16668,Shots Fired/Illegal Hunting,202000029999,900,1ST ST S,CPD,2020/10/31 07:05:48+00,0305,"Groff, Hayden"
16675,Weapons Violations,202000029952,2100,MICHIE DR,CPD,2020/10/30 21:08:52+00,1708,"Houchens, Jamell"
16700,Weapons Violations,202000029720,100,OLD LYNCHBURG RD,CPD,2020/10/28 00:13:24+00,2013,"Fink, James"
16749,Shots Fired/Illegal Hunting,202000029376,2200,SHELBY DR,CPD,2020/10/24 04:01:50+00,0001,"Hall, Stephen"
16839,Shots Fired/Illegal Hunting,202000028481,500,CAROLINE AVE,CPD,2020/10/14 18:42:09+00,1442,"Shiflett, Tammy"
16890,Shots Fired/Illegal Hunting,202000028075,700,FRANKLIN ST,CPD,2020/10/10 01:26:00+00,2126,"Eckenroth, Rachel"
16903,Shots Fired/Illegal Hunting,202000027989,600,BLENHEIM AVE,CPD,2020/10/09 03:35:25+00,2335,"Blackwell, Ryan"
16962,Shots Fired/Illegal Hunting,202000027510,900,1ST ST S,CPD,2020/10/04 03:36:23+00,2336,"Vlasis, Christopher"
16976,Shots Fired/Illegal Hunting,202000027408,,HARRIS RD / CHRISTA CT,CPD,2020/10/02 22:52:20+00,1852,"Green, Bryan"
16984,Shots Fired/Illegal Hunting,202000027348,900,1ST ST S,CPD,2020/10/02 04:44:04+00,0044,"Blackwell, Ryan"
17043,Shots Fired/Illegal Hunting,202000026869,800,HARDY DR,CPD,2020/09/27 07:18:33+00,0318,"Harlow, Matthew"
17045,Shots Fired/Illegal Hunting,202000026864,,BAILEY RD / 5TH ST SW,CPD,2020/09/27 05:10:54+00,0110,"Hounsel, Eli"
17118,Shots Fired/Illegal Hunting,202000026317,1200,EMMET ST N,CPD,2020/09/20 06:16:43+00,0216,"Adams, Jonathan"
17144,Shots Fired/Illegal Hunting,202000026110,900,1ST ST S,CPD,2020/09/18 04:31:36+00,0031,"Blackwell, Ryan"
17225,Shots Fired/Illegal Hunting,202000025444,800,"HARDY DR, E?",CPD,2020/09/11 15:11:21+00,1111,"Samar, Jack"
17227,Robbery - Armed,202000025434,1100,MILLMONT ST,CPD,2020/09/11 10:50:12+00,0650,"Huffman, Mark"
17256,Weapons Violations,202000025159,,UNIVERSITY AVE / RUGBY RD,CPD,2020/09/08 17:31:20+00,1331,"Middleton, Matthew"
17274,Shots Fired/Illegal Hunting,202000025024,100,SEMINOLE CT,CPD,2020/09/07 02:51:05+00,2251,"Burchardt, Rudy"
17280,Shots Fired/Illegal Hunting,202000024952,,PAGE ST / 10TH ST NW,CPD,2020/09/06 08:58:18+00,0458,"Blackwell, Kyle"
17299,Robbery - Armed,202000024817,100,MAURY AVE,CPD,2020/09/05 01:49:59+00,2149,"Wood, Joseph"
17301,Weapons Violations,202000024799,,14TH ST NW / GORDON AVE,CPD,2020/09/04 22:01:26+00,1801,"Wood, Joseph"
17332,Shots Fired/Illegal Hunting,202000024553,400,GARRETT ST,CPD,2020/09/02 05:14:22+00,0114,"Hall, Stephen"
17345,Weapons Violations,202000024446,200,RIDGE MCINTIRE RD,CPD,2020/09/01 03:05:14+00,2305,"Fink, James"
17391,Weapons Violations,202000024042,800,E MARKET ST,CPD,2020/08/28 01:36:07+00,2136,"Wood, Joseph"
17456,Shots Fired/Illegal Hunting,202000023524,400,9TH ST NW,CPD,2020/08/22 07:03:54+00,0303,"Blackwell, Kyle"
17462,Weapons Violations,202000023480,700,STONEHENGE AVE,CPD,2020/08/21 22:06:10+00,1806,"Wood, Joseph"
17482,Weapons Violations,202000023342,300,RIVERSIDE AVE,CPD,2020/08/20 19:42:26+00,1542,"Raines, Christopher"
